"city_id","name_en","name_ar","country_code","state_code","state_name","country_name","status"
"62","Al Fujayrah","الفجيرة","AE","","Al Fujayrah","United Arab Emirates","1"
"61","Abu Dhabi","أبو ظبي","AE","","Abu Dhabi","United Arab Emirates","1"
"60","Tabuk","تبوك","SA","","Tabuk","Saudi Arabia","1"
"59","Najran","نجران","SA","","Najran","Saudi Arabia","1"
"58","Makkah","مكة المكرمة","SA","","Makkah","Saudi Arabia","1"
"57","Jizan","جيزان","SA","","Jizan","Saudi Arabia","1"
"56","Ha'il","حائل","SA","","Ha'il","Saudi Arabia","1"
"55","Ash Sharqiyah (Eastern)","الشرقية","SA","","Ash Sharqiyah (Eastern)","Saudi Arabia","1"
"54","Ar Riyad","الرياض","SA","","Ar Riyad","Saudi Arabia","1"
"53","Al Qasim","القصيم","SA","","Al Qasim","Saudi Arabia","1"
"52","Al Madinah","نجران","SA","","Al Madinah","Saudi Arabia","1"
"51","Al Jawf","الباحة","SA","","Al Jawf","Saudi Arabia","1"
"50","Al Hudud ash Shamaliyah","الحدود الشمالية","SA","","Al Hudud ash Shamaliyah","Saudi Arabia","1"
"49","Al Bahah","الباحة","SA","","Al Bahah","Saudi Arabia","1"
"48","'Asir","عسير","SA","","'Asir","Saudi Arabia","1"
"47","Salman Port","ميناء سلمان","BH","","Salman Port","Bahrain","1"
"46","Bahrain International Airport","مطار البحرين الدولي","BH","","Bahrain International Airport","Bahrain","1"
"45","Madinat Isa","مدينة عيسى","BH","","Madinat Isa","Bahrain","1"
"44","Madinat Zayed","مدينة زايد","BH","","Madinat Zayed","Bahrain","1"
"43","Madinat Hamad","مدينة حمد","BH","","Madinat Hamad","Bahrain","1"
"42","Karzakan","كرزكان","BH","","Karzakan","Bahrain","1"
"41","Qal'at Al Bahrain","قلعة البحرين","BH","","Qal'at Al Bahrain","Bahrain","1"
"40","Qalali","قلالي","BH","","Qalali","Bahrain","1"
"39","Qarya Saar","القرية","BH","","Qarya Saar","Bahrain","1"
"38","Askar","عسكر","BH","","Askar","Bahrain","1"
"37","Adhari","عذاري","BH","","Adhari","Bahrain","1"
"36","Daih Al Seef","ديح السيف","BH","","Daih Al Seef","Bahrain","1"
